----system---- --total-cpu-usage-- ------memory-usage----- --io/total-----io/sda------io/sdh-- -dsk/total----dsk/sda-----dsk/sdh-- ----root--------data---
     time     |usr sys idl wai stl| used  free  buff  cach| read  writ: read  writ: read  writ| read  writ: read  writ: read  writ| used  free: used  free
24-02 13:38:36|  4   2  75  18   0|3062M 8634M 1334M 17.9G|1.00   360 :   0   257 :1.00   100 |  20k  223M:   0   165M:  20k   57M|35.9G  460G:7324M  484G
24-02 13:38:37|  2   2  72  24   0|3054M 8642M 1334M 17.9G|   0   582 :   0   480 :   0  96.0 |   0   221M:   0   165M:   0    56M|36.0G  460G:7343M  484G
24-02 13:38:38|  4   2  75  19   0|3045M 8652M 1334M 17.9G|   0   381 :   0   294 :   0  83.0 |   0   222M:   0   165M:   0    57M|36.0G  460G:7364M  484G
24-02 13:38:39|  3   3  80  14   0|3045M 9079M 1334M 17.5G|   0   409 :   0   298 :   0   111 |   0   224M:   0   166M:   0    58M|35.6G  460G:7385M  484G
24-02 13:38:40|  4   3  83  10   0|3049M 9009M 1334M 17.6G| 408   510 :   0   248 : 408   256 |7040k  321M:   0   166M:7040k  155M|35.6G  460G:7405M  484G
24-02 13:38:41|  4   3  85   8   0|3046M 8897M 1334M 17.7G|12.0   466 :   0   219 :12.0   226 | 808k  320M:   0   166M: 808k  153M|35.8G  460G:7425M  484G
24-02 13:38:42|  4   3  86   7   0|3034M 8757M 1334M 17.9G|2954   354 :2954   236 :   0   118 |  21M  177M:  21M  150M:   0    27M|35.9G  460G:7445M  484G
24-02 13:38:43|  2   2  86  10   0|3044M 8723M 1334M 17.9G| 770   334 : 768   226 :2.00   102 |6152k  162M:6144k  136M:8192B   25M|35.9G  460G:7464M  484G
24-02 13:38:44|  6   2  73  19   0|3102M 8647M 1334M 17.9G| 764   435 :   0   312 : 764   117 |4652k  188M:   0   161M:4652k   27M|35.9G  460G:7485M  484G
24-02 13:38:45|  3   3  76  18   0|3096M 8594M 1334M 18.0G|2839  1348 :   0   277 :2839  1012 |  13M  539M:   0   163M:  13M  373M|36.0G  460G:7505M  484G
24-02 13:38:46|  3   3  77  17   0|3107M 8584M 1334M 18.0G|3462   994 :26.0   589 :3436   405 |  18M  311M: 204k  166M:  18M  145M|36.0G  460G:7526M  484G
24-02 13:38:47|  3   2  82  13   0|3090M 8596M 1334M 18.0G|3669   357 :   0   263 :3669  88.0 |  16M  183M:   0   157M:  16M   26M|36.1G  460G:7546M  484G
24-02 13:38:48|  3   2  92   3   0|3090M 8596M 1334M 18.0G|3717   251 :   0   146 :3717   101 |  20M   84M:   0    57M:  20M   26M|36.1G  460G:7566M  484G
24-02 13:38:49|  2   2  93   3   0|3087M 8600M 1334M 18.0G|3285   226 :   0   148 :3285  78.0 |  16M   70M:   0    43M:  16M   27M|36.2G  460G:7587M  484G
24-02 13:38:50|  3   2  92   3   0|3033M 8655M 1334M 18.0G|   0   230 :   0   150 :   0  74.0 |   0   101M:   0    66M:   0    35M|36.2G  460G:7606M  484G
24-02 13:38:51|  3   3  89   5   0|3045M 8654M 1334M 17.9G|33.0   714 :   0   202 :33.0   476 | 200k  396M:   0    97M: 200k  298M|36.3G  460G:7618M  484G
24-02 13:38:52|  6   1  78  15   0|3051M 8651M 1334M 17.9G|5.00   499 :   0   407 :5.00  92.0 |  24k  196M:   0   155M:  24k   42M|36.3G  460G:7618M  484G
24-02 13:38:53|  4   1  76  19   0|3068M 8639M 1334M 17.9G|79.0   374 :   0   273 :79.0  99.0 |1196k  199M:   0   165M:1196k   34M|36.3G  460G:7618M  484G
24-02 13:38:54|  7   3  75  15   0|3050M 9141M 1334M 17.5G|1147   429 :1147   327 :   0  92.0 |9112k  191M:9112k  166M:   0    25M|35.8G  460G:7618M  484G
24-02 13:38:55|  4   2  91   3   0|3040M 9114M 1334M 17.5G| 169   497 : 169   406 :   0  85.0 |1352k  107M:1352k   80M:   0    26M|35.9G  460G:7618M  484G
24-02 13:38:56|  5   2  90   3   0|3072M 9064M 1334M 17.5G|1.00   590 :1.00   253 :   0   337 |4096B  230M:4096B   51M:   0   180M|35.9G  460G:7618M  484G
24-02 13:38:57|  3   1  93   2   0|3073M 9043M 1334M 17.5G|18.0   312 :9.00   167 :9.00  94.0 | 144k   73M:  72k   43M:  72k   26M|35.9G  460G:7619M  484G
24-02 13:38:58|  4   1  93   2   0|3067M 9032M 1334M 17.6G|   0   223 :   0   128 :   0  95.0 |   0    65M:   0    40M:   0    25M|35.9G  460G:7619M  484G
24-02 13:38:59|  4   1  93   2   0|3068M 8998M 1334M 17.6G|8.00   239 :   0   140 :8.00  95.0 |  64k   86M:   0    59M:  64k   26M|35.9G  460G:7619M  484G
24-02 13:39:00|  4   2  92   2   0|3062M 8987M 1334M 17.6G|   0   212 :   0   120 :   0  86.0 |   0    66M:   0    41M:   0    25M|36.0G  460G:7619M  484G
24-02 13:39:01|  3   2  93   2   0|3063M 8969M 1334M 17.6G|   0   253 :   0   144 :   0   109 |   0    68M:   0    42M:   0    26M|36.0G  460G:7620M  484G
24-02 13:39:02|  3   2  93   2   0|3054M 8946M 1334M 17.7G|4.00   226 :   0   138 :4.00  88.0 |  32k   82M:   0    57M:  32k   25M|36.0G  460G:7620M  484G
24-02 13:39:03|  3   2  93   2   0|3064M 8920M 1334M 17.7G|   0   279 :   0   130 :   0   100 |   0    69M:   0    42M:   0    26M|36.0G  460G:7620M  484G
24-02 13:39:04|  3   2  91   5   0|3048M 8920M 1334M 17.7G|2.00   582 :   0   483 :2.00  93.0 |  16k  126M:   0   101M:  16k   25M|36.0G  460G:7620M  484G
24-02 13:39:05|  3   2  93   2   0|3054M 8880M 1334M 17.7G|   0   271 :   0   154 :   0   107 |   0    85M:   0    58M:   0    27M|36.1G  460G:7621M  484G
24-02 13:39:06|  3   2  93   3   0|3042M 8859M 1334M 17.8G|   0  1018 :   0   150 :   0   868 |   0   173M:   0    42M:   0   131M|36.1G  460G:7629M  484G
24-02 13:39:07|  2   2  94   2   0|3052M 8802M 1334M 17.8G|   0   354 :   0   136 :   0   212 |   0    87M:   0    40M:   0    46M|36.1G  460G:7649M  484G
24-02 13:39:08|  3   3  91   4   0|3050M 8750M 1335M 17.8G|   0   565 :   0   186 :   0   377 |   0   195M:   0    58M:   0   137M|36.2G  460G:7669M  484G
24-02 13:39:09|  2   2  92   5   0|3043M 8727M 1335M 17.9G|   0   387 :   0   285 :   0  69.0 |   0   105M:   0    79M:   0    25M|36.2G  460G:7689M  484G
24-02 13:39:10|  3   2  80  15   0|3061M 8686M 1335M 17.9G|   0   690 :   0   558 :   0   126 |   0   212M:   0   172M:   0    39M|36.2G  460G:7711M  484G
24-02 13:39:11|  3   2  81  15   0|3050M 8669M 1335M 17.9G|   0   503 :   0   339 :   0   160 |   0   282M:   0   166M:   0   115M|36.3G  460G:7729M  484G
24-02 13:39:12|  4   3  86   7   0|3030M 8655M 1335M 18.0G|   0   368 :   0   276 :   0  92.0 |   0   209M:   0   162M:   0    47M|36.4G  460G:7750M  484G
24-02 13:39:13|  2   1  94   2   0|3027M 8655M 1335M 18.0G|   0   213 :   0   111 :   0   100 |   0    70M:   0    43M:   0    27M|36.4G  460G:7771M  483G
24-02 13:39:14|  3   1  77  18   0|3038M 8649M 1335M 18.0G|   0   558 :   0   411 :   0   105 |   0   200M:   0   174M:   0    25M|36.4G  460G:7791M  483G
24-02 13:39:15|  3   3  75  19   0|3023M 9156M 1335M 17.5G|   0   417 :   0   321 :   0  90.0 |   0   165M:   0   139M:   0    26M|36.0G  460G:7811M  483G
24-02 13:39:16|  3   2  93   3   0|3032M 9111M 1335M 17.5G|   0   568 :   0   139 :   0   425 |   0   232M:   0    42M:   0   190M|36.0G  460G:7831M  483G
24-02 13:39:17|  3   1  94   2   0|3027M 9062M 1335M 17.6G|   0   268 :   0   181 :   0  76.0 |   0    86M:   0    60M:   0    27M|36.1G  460G:7852M  483G
24-02 13:39:18|  3   1  94   2   0|3025M 9027M 1335M 17.6G|   0   208 :   0   135 :   0  73.0 |   0    69M:   0    43M:   0    26M|36.1G  460G:7874M  483G
24-02 13:39:19|  2   1  95   2   0|3025M 8993M 1335M 17.6G|   0   186 :   0   114 :   0  69.0 |   0    62M:   0    39M:   0    23M|36.1G  460G:7892M  483G
24-02 13:39:20|  3   2  93   2   0|3026M 8939M 1335M 17.7G|   0   252 :   0   141 :   0  78.0 |   0    86M:   0    58M:   0    27M|36.2G  460G:7913M  483G
----system---- --total-cpu-usage-- ------memory-usage----- --io/total-----io/sda------io/sdh-- -dsk/total----dsk/sda-----dsk/sdh-- ----root--------data---
     time     |usr sys idl wai stl| used  free  buff  cach| read  writ: read  writ: read  writ| read  writ: read  writ: read  writ| used  free: used  free
24-02 13:39:21|  3   2  91   5   0|3030M 8913M 1335M 17.7G|   0   523 :   0   217 :   0   306 |   0   293M:   0    59M:   0   234M|36.2G  460G:7933M  483G
24-02 13:39:22|  7   2  82   9   0|3087M 8803M 1335M 17.8G|   0   320 :   0   224 :   0  92.0 |   0   133M:   0   107M:   0    26M|36.3G  460G:7954M  483G
24-02 13:39:23|  2   1  94   3   0|3077M 8758M 1335M 17.8G|   0   284 :   0   173 :   0   109 |   0    83M:   0    58M:   0    26M|36.3G  460G:7975M  483G
24-02 13:39:24|  3   1  94   2   0|3070M 8727M 1335M 17.8G|   0   236 :   0   144 :   0  86.0 |   0    66M:   0    41M:   0    24M|36.4G  460G:7995M  483G
24-02 13:39:25|  3   2  93   3   0|3067M 8695M 1335M 17.9G|   0   305 :   0   153 :   0  91.0 |   0    69M:   0    41M:   0    25M|36.4G  460G:8015M  483G
24-02 13:39:26|  4   2  92   3   0|3064M 8643M 1335M 17.9G|   0   459 :   0   153 :   0   306 |   0   143M:   0    58M:   0    85M|36.4G  460G:8035M  483G
24-02 13:39:27|  4   2  86   9   0|3077M 8610M 1335M 18.0G|   0   308 :   0   222 :   0  73.0 |   0   143M:   0   117M:   0    26M|36.5G  459G:8056M  483G
24-02 13:39:28|  2   1  81  16   0|3081M 8608M 1335M 18.0G|   0   341 :   0   263 :   0  78.0 |   0   191M:   0   166M:   0    25M|36.5G  459G:8076M  483G
24-02 13:39:29|  2   2  82  14   0|3007M 8675M 1335M 18.0G|   0   445 :   0   376 :   0  69.0 |   0   177M:   0   153M:   0    24M|36.5G  459G:8096M  483G
24-02 13:39:30|  4   2  88   6   0|3021M 8666M 1335M 18.0G|   0   643 :   0   148 :   0   487 |   0   335M:   0    59M:   0   275M|36.6G  459G:8117M  483G
24-02 13:39:31|  2   2  94   2   0|3016M 8664M 1335M 18.0G|   0   303 :   0   118 :   0   146 |   0   139M:   0    41M:   0    96M|36.6G  459G:8138M  483G
24-02 13:39:32|  3   2  93   2   0|3014M 8666M 1335M 18.0G|   0   217 :   0   109 :   0   108 |   0    77M:   0    52M:   0    25M|36.7G  459G:8157M  483G
24-02 13:39:33|  4   2  92   2   0|3025M 8656M 1335M 18.0G|   0   285 :   0   136 :   0   143 |   0    77M:   0    49M:   0    28M|36.7G  459G:8178M  483G
24-02 13:39:34|  3   2  92   3   0|3018M 8661M 1335M 18.0G|   0   361 :   0   246 :   0   109 |   0   109M:   0    85M:   0    24M|36.8G  459G:8198M  483G
24-02 13:39:35|  4   2  92   2   0|3021M 8657M 1335M 18.0G|   0   269 :   0   154 :   0   109 |   0    84M:   0    57M:   0    26M|36.8G  459G:8218M  483G
24-02 13:39:36|  4   2  92   2   0|3018M 8661M 1335M 18.0G|   0   437 :   0   129 :   0   283 |   0   123M:   0    42M:   0    80M|36.8G  459G:8240M  483G
24-02 13:39:37|  3   2  92   2   0|3023M 8656M 1335M 18.0G|   0   223 :   0   139 :   0  78.0 |   0    70M:   0    42M:   0    29M|36.9G  459G:8259M  483G
24-02 13:39:38|  3   1  88   8   0|3026M 8657M 1335M 18.0G|   0   401 :   0   322 :   0  79.0 |   0   148M:   0   121M:   0    26M|36.9G  459G:8280M  483G
24-02 13:39:39|  3   2  81  15   0|3033M 8655M 1335M 17.9G|   0   377 :   0   302 :   0  71.0 |   0   190M:   0   165M:   0    25M|36.9G  459G:8300M  483G
24-02 13:39:40|  4   2  80  14   0|3012M 9140M 1335M 17.5G|   0   408 :   0   332 :   0  70.0 |   0   168M:   0   143M:   0    26M|36.5G  459G:8321M  483G
24-02 13:39:41|  3   2  93   2   0|3043M 9071M 1335M 17.5G|   0   257 :   0   182 :   0  75.0 |   0    74M:   0    48M:   0    26M|36.5G  459G:8341M  483G
24-02 13:39:42|  4   2  91   4   0|3041M 9020M 1335M 17.6G|   0   530 :   0   125 :   0   369 |   0   343M:   0    59M:   0   281M|36.6G  459G:8361M  483G
24-02 13:39:43|  3   2  94   2   0|3060M 8963M 1335M 17.6G|   0   188 :   0  95.0 :   0  91.0 |   0    67M:   0    41M:   0    25M|36.6G  459G:8382M  483G
24-02 13:39:44|  3   2  93   2   0|3038M 8947M 1335M 17.7G|   0   229 :   0   115 :   0   108 |   0    67M:   0    41M:   0    25M|36.6G  459G:8402M  483G
24-02 13:39:45|  3   2  89   6   0|3051M 8885M 1335M 17.7G|   0   461 :   0   354 :   0  97.0 |   0   165M:   0   139M:   0    25M|36.7G  459G:8422M  483G
24-02 13:39:46|  3   1  93   2   0|3051M 8846M 1335M 17.7G|   0   211 :   0   135 :   0  76.0 |   0    69M:   0    43M:   0    26M|36.7G  459G:8443M  483G
24-02 13:39:47|  3   2  94   2   0|3055M 8805M 1335M 17.8G|   0   370 :   0   125 :   0   239 |   0   126M:   0    41M:   0    84M|36.8G  459G:8463M  483G
24-02 13:39:48|  3   2  93   2   0|3040M 8766M 1335M 17.8G|   0   314 :   0   166 :   0  92.0 |   0    86M:   0    58M:   0    26M|36.8G  459G:8484M  483G
24-02 13:39:49|  3   1  94   2   0|3037M 8731M 1335M 17.9G|   0   190 :   0   116 :   0  74.0 |   0    64M:   0    40M:   0    24M|36.9G  459G:8503M  483G
24-02 13:39:50|  3   2  90   6   0|3045M 8690M 1335M 17.9G|   0   251 :   0   169 :   0  73.0 |   0   119M:   0    93M:   0    26M|36.9G  459G:8524M  483G
24-02 13:39:51|  3   2  78  18   0|3058M 8657M 1335M 17.9G|   0   326 :   0   250 :   0  73.0 |   0   192M:   0   165M:   0    26M|36.9G  459G:8545M  483G
24-02 13:39:52|  4   2  76  18   0|3052M 8644M 1335M 17.9G|   0   788 :   0   340 :   0   445 |   0   475M:   0   165M:   0   310M|36.9G  459G:8563M  483G
24-02 13:39:53|  5   2  86   7   0|3039M 8656M 1335M 17.9G|13.0   342 :   0   246 :13.0  93.0 |  68k  136M:   0   108M:  68k   27M|37.0G  459G:8585M  483G
24-02 13:39:54|  7   2  88   4   0|3020M 8666M 1335M 17.9G|10.0   490 :   0   156 :10.0   297 | 184k  179M:   0    70M: 184k  106M|37.1G  459G:8605M  483G
24-02 13:39:55|  4   3  89   5   0|3029M 8653M 1336M 18.0G|1.00   624 :1.00   205 :   0   413 |8192B  230M:8192B  112M:   0   117M|37.1G  459G:8625M  483G
24-02 13:39:56|  5   3  89   3   0|3031M 8651M 1336M 18.0G|25.0   373 :25.0   245 :   0   124 | 100k  170M: 100k  111M:   0    59M|37.2G  459G:8645M  483G
24-02 13:39:57|  3   3  91   4   0|3025M 8657M 1336M 18.0G|1176   652 :1176   185 :   0   461 |9392k  262M:9392k  102M:   0   159M|37.3G  459G:8667M  483G
24-02 13:39:58|  4   2  81  13   0|3029M 8655M 1336M 18.0G|1.00   661 :1.00   573 :   0  88.0 |8192B  192M:8192B  158M:   0    34M|37.3G  459G:8686M  483G
24-02 13:39:59|  3   2  77  18   0|3041M 8647M 1336M 17.9G| 261   482 :   0   356 : 261  81.0 |1448k  200M:   0   166M:1448k   31M|37.4G  459G:8707M  483G
24-02 13:40:00| 11   6  65  18   0|3105M 8590M 1336M 17.9G| 466   445 :2.00   337 : 464   102 |1868k  231M:  12k  165M:1856k   66M|37.4G  459G:8728M  483G
24-02 13:40:01|  7   5  77  12   0|3110M 8969M 1336M 17.6G| 550   463 :2.00   341 : 548   118 |2384k  242M:  28k  165M:2356k   77M|37.0G  459G:8748M  483G
24-02 13:40:02|  6   4  76  14   0|3110M 8832M 1336M 17.7G| 307   835 :6.00   275 : 301   560 |1256k  518M:  52k  160M:1204k  358M|37.1G  459G:8770M  483G
24-02 13:40:03|  3   3  88   7   0|3055M 8725M 1336M 17.9G|1519   340 :1384   225 : 135   112 |  12M  220M:  11M  165M:1036k   55M|37.2G  459G:8788M  483G
24-02 13:40:04|  4   3  81  13   0|3061M 8625M 1336M 18.0G|3441   445 :3419   321 :22.0   118 |  28M  227M:  27M  171M: 768k   56M|37.2G  459G:8808M  482G
24-02 13:40:05|  3   3  75  20   0|3072M 8619M 1336M 17.9G|1198  1471 :1198   528 :   0   890 |9584k  515M:9584k  165M:   0   347M|37.2G  459G:8829M  482G
----system---- --total-cpu-usage-- ------memory-usage----- --io/total-----io/sda------io/sdh-- -dsk/total----dsk/sda-----dsk/sdh-- ----root--------data---
     time     |usr sys idl wai stl| used  free  buff  cach| read  writ: read  writ: read  writ| read  writ: read  writ: read  writ| used  free: used  free
24-02 13:40:06|  4   3  86   7   0|3075M 8613M 1336M 17.9G|5641   420 :5601   282 :40.0   138 |  45M  223M:  44M  166M:1296k   57M|37.4G  459G:8850M  482G
24-02 13:40:07|  3   4  88   6   0|3051M 8628M 1336M 18.0G|6012   369 :6012   269 :   0  90.0 |  47M  211M:  47M  154M:   0    56M|37.4G  459G:8869M  482G
24-02 13:40:08|  5   4  87   4   0|3026M 8654M 1336M 18.0G|3431   607 :3391   223 :40.0   384 |  29M  317M:  26M  117M:2900k  200M|37.5G  458G:8891M  482G
24-02 13:40:09|  2   2  86   9   0|3036M 8649M 1336M 17.9G|2521   583 :2475   469 :46.0   114 |  25M  205M:  19M  150M:5760k   55M|37.6G  458G:8910M  482G
24-02 13:40:10|  3   2  80  15   0|3034M 8652M 1336M 17.9G|1439   425 :1192   312 : 247   107 |  40M  232M:9536k  165M:  31M   67M|37.6G  458G:8931M  482G
24-02 13:40:11|  3   2  77  19   0|3034M 8651M 1336M 18.0G| 253   382 :   0   272 : 253   108 |  31M  244M:   0   165M:  31M   79M|37.6G  458G:8952M  482G
24-02 13:40:12|  4   4  77  15   0|3024M 9077M 1336M 17.6G|4539   580 :4284   425 : 255   122 |  65M  241M:  33M  166M:  32M   75M|37.2G  459G:8971M  482G
24-02 13:40:13|  3   3  76  17   0|3036M 8930M 1336M 17.7G|4377   790 :4210   240 : 167   544 |  53M  526M:  33M  165M:  20M  361M|37.3G  459G:8991M  482G
24-02 13:40:14|  4   3  83  10   0|3026M 8798M 1337M 17.8G|4810   454 :4580   231 : 230   217 |  64M  306M:  36M  165M:  28M  140M|37.4G  459G:9013M  482G
24-02 13:40:15|  4   3  81  11   0|3036M 8649M 1337M 17.9G|5654   681 :5442   216 : 212   459 |  69M  329M:  43M  164M:  26M  166M|37.5G  458G:9033M  482G
24-02 13:40:16|  4   3  79  14   0|3034M 8652M 1337M 17.9G|2876   434 :2628   286 : 248   147 |  51M  224M:  21M  167M:  31M   57M|37.5G  458G:9054M  482G
24-02 13:40:17|  3   2  77  17   0|3035M 8657M 1337M 17.9G|2166   425 :1904   334 : 262  85.0 |  46M  223M:  15M  166M:  31M   57M|37.6G  458G:9073M  482G
24-02 13:40:18|  4   3  84   9   0|3045M 8643M 1337M 17.9G|4992   483 :4760   250 : 232   172 |  66M  288M:  37M  164M:  29M  121M|37.7G  458G:9094M  482G
24-02 13:40:19|  3   4  81  12   0|3037M 8652M 1337M 17.9G|6202   678 :6000   228 : 202   448 |  72M  425M:  47M  165M:  25M  260M|37.8G  458G:9115M  482G
24-02 13:40:20|  3   2  78  17   0|3038M 8651M 1337M 17.9G|1199   324 : 947   219 : 252  99.0 |  39M  231M:7696k  166M:  32M   65M|37.8G  458G:9134M  482G
24-02 13:40:21|  2   2  76  20   0|3046M 8642M 1337M 17.9G|1413   386 :1167   272 : 246   112 |  40M  244M:9336k  165M:  31M   78M|37.8G  458G:9156M  482G
24-02 13:40:22|  4   2  81  13   0|3043M 8644M 1337M 17.9G|1396   526 :1151   335 : 245   191 |  40M  240M:9208k  165M:  31M   75M|37.8G  458G:9175M  482G
24-02 13:40:23|  4   3  75  18   0|3045M 9088M 1337M 17.5G|3497   423 :3246   314 : 251   107 |  56M  224M:  25M  164M:  31M   60M|37.4G  459G:9196M  482G
24-02 13:40:24|  4   4  74  18   0|3041M 8956M 1338M 17.7G|4509  1491 :4317   259 : 192  1183 |  56M  580M:  34M  167M:  22M  410M|37.5G  458G:9216M  482G
24-02 13:40:25|  6   4  83   6   0|3047M 8812M 1338M 17.8G|4657   441 :4407   230 : 250   201 |  66M  225M:  35M  164M:  31M   61M|37.6G  458G:9237M  482G
24-02 13:40:26| 11   4  79   6   0|3066M 8631M 1338M 17.9G|5594   420 :5332   333 : 262  84.0 |  75M  220M:  43M  164M:  32M   56M|37.7G  458G:9256M  482G
24-02 13:40:27| 10   4  80   6   0|3073M 8615M 1338M 17.9G|6203   385 :5951   289 : 252  90.0 |  78M  222M:  46M  165M:  31M   57M|37.8G  458G:9277M  482G
24-02 13:40:28|  9   6  78   7   0|3077M 8608M 1338M 17.9G|6383   333 :6136   242 : 247  89.0 |  79M  226M:  48M  169M:  31M   57M|37.9G  458G:9298M  482G
24-02 13:40:29|  5   4  64  27   0|3052M 8636M 1338M 17.9G| 186   724 :   0   218 : 186   446 |  23M  465M:   0   165M:  23M  297M|37.9G  458G:9317M  482G
24-02 13:40:30|  8   5  75  12   0|3048M 8632M 1338M 18.0G|1485   424 :1240   281 : 245   135 |  40M  233M:  10M  166M:  31M   67M|37.9G  458G:9338M  482G
24-02 13:40:31|  4   4  84   8   0|3040M 8646M 1338M 17.9G|3859   334 :3609   227 : 250   107 |  59M  246M:  28M  165M:  31M   81M|38.0G  458G:9359M  482G
24-02 13:40:32|  4   3  75  17   0|3042M 8641M 1338M 17.9G|2699   725 :2441   608 : 258   117 |  50M  236M:  19M  165M:  31M   71M|38.0G  458G:9379M  482G
24-02 13:40:33|  3   3  70  25   0|3049M 8734M 1338M 17.8G| 839   803 : 647   344 : 192   456 |  29M  466M:5176k  165M:  24M  301M|38.0G  458G:9401M  482G
24-02 13:40:34|  4   5  76  16   0|3033M 9036M 1338M 17.6G|5335   822 :4914   300 : 421   516 |  72M  386M:  38M  165M:  34M  221M|37.6G  458G:9420M  482G
24-02 13:40:35|  4   3  85   8   0|3039M 8893M 1338M 17.7G|4666   481 :4379   234 : 287   231 |  66M  254M:  34M  166M:  32M   87M|37.7G  458G:9440M  482G
24-02 13:40:36|  4   3  82  12   0|3031M 8812M 1338M 17.8G|3525   359 :3033   251 : 492   106 |  64M  223M:  24M  166M:  40M   57M|37.8G  458G:9461M  482G
24-02 13:40:37|  5   2  79  15   0|3032M 8790M 1338M 17.8G| 535   347 : 288   254 : 247  87.0 |  33M  221M:2304k  164M:  31M   56M|37.8G  458G:9481M  482G
24-02 13:40:38|  6   4  82   8   0|3103M 8581M 1338M 17.9G|6027   382 :5240   295 : 787  87.0 |  74M  222M:  41M  166M:  33M   57M|37.9G  458G:9501M  482G
24-02 13:40:39|  4   4  86   6   0|3096M 8586M 1338M 17.9G|6907   321 :6036   221 : 871  98.0 |  87M  224M:  47M  166M:  40M   58M|38.0G  458G:9522M  482G
24-02 13:40:40|  4   4  76  16   0|3102M 8577M 1338M 18.0G|5691   806 :4840   206 : 851   544 |  67M  482M:  38M  135M:  30M  344M|38.1G  458G:9543M  482G
24-02 13:40:41|  3   4  86   7   0|3102M 8580M 1338M 17.9G|6902   341 :5982   232 : 920   107 |  87M  239M:  47M  165M:  40M   74M|38.2G  458G:9562M  482G
24-02 13:40:42|  3   3  79  15   0|3045M 8637M 1338M 17.9G|2258   401 :2010   253 : 248   148 |  50M  233M:  19M  167M:  31M   66M|38.3G  458G:9584M  482G
24-02 13:40:43|  3   2  67  28   0|3053M 8629M 1339M 17.9G|1404   940 :1233   232 : 171   706 |  31M  557M:9864k  166M:  21M  391M|38.3G  458G:9602M  482G
24-02 13:40:44|  4   2  78  16   0|3046M 8636M 1339M 17.9G| 267   431 :49.0   239 : 218   184 |  35M  219M:7520k  165M:  27M   54M|38.3G  458G:9624M  482G
24-02 13:40:45|  3   4  78  15   0|3041M 9048M 1339M 17.6G|3939   767 :3700   348 : 239   386 |  56M  354M:  29M  163M:  27M  189M|37.9G  458G:9643M  482G
24-02 13:40:46|  5   4  83   8   0|3040M 8907M 1339M 17.7G|5266   361 :4586   255 : 680   104 |  74M  226M:  36M  168M:  38M   58M|38.0G  458G:9665M  482G
24-02 13:40:47|  4   4  86   7   0|3031M 8749M 1339M 17.9G|5951   336 :5708   241 : 243  89.0 |  75M  221M:  45M  165M:  30M   55M|38.1G  458G:9684M  482G
24-02 13:40:48|  3   3  81  14   0|3038M 8670M 1339M 17.9G|3154   333 :2907   244 : 247  89.0 |  54M  222M:  23M  164M:  31M   57M|38.2G  458G:9705M  482G
24-02 13:40:49|  3   3  82  13   0|3029M 8654M 1339M 17.9G|2685   356 :2171   265 : 514  91.0 |  52M  224M:  17M  166M:  35M   58M|38.2G  458G:9726M  482G
24-02 13:40:50|  4   5  78  13   0|3031M 8655M 1339M 17.9G|6706   664 :5907   229 : 799   398 |  78M  437M:  46M  165M:  32M  271M|38.3G  458G:9747M  482G
----system---- --total-cpu-usage-- ------memory-usage----- --io/total-----io/sda------io/sdh-- -dsk/total----dsk/sda-----dsk/sdh-- ----root--------data---
     time     |usr sys idl wai stl| used  free  buff  cach| read  writ: read  writ: read  writ| read  writ: read  writ: read  writ| used  free: used  free
24-02 13:40:51|  4   4  86   6   0|3035M 8643M 1339M 18.0G|6336   355 :6085   246 : 251   107 |  79M  236M:  48M  166M:  31M   70M|38.4G  458G:9765M  482G
24-02 13:40:52|  4   5  82   9   0|3029M 8649M 1339M 17.9G|5131   415 :4885   278 : 246   135 |  69M  230M:  38M  165M:  31M   65M|38.5G  457G:9788M  482G
24-02 13:40:53|  3   2  68  27   0|3030M 8651M 1339M 17.9G|1444   860 :1187   228 : 257   630 |  31M  531M:9496k  165M:  22M  366M|38.5G  457G:9805M  482G
24-02 13:40:54|  8   2  65  24   0|3041M 8655M 1339M 17.9G| 587   409 : 405   208 : 182   195 |  21M  212M:4456k  166M:  17M   47M|38.5G  457G:9827M  481G
24-02 13:40:55|  4   2  69  24   0|3031M 8651M 1339M 17.9G| 937  1166 : 727   753 : 210   373 |  31M  353M:5816k  165M:  26M  187M|38.6G  457G:9847M  481G
24-02 13:40:56|  5   5  76  14   0|3038M 9013M 1339M 17.6G|4048   413 :3742   312 : 306  97.0 |  62M  215M:  29M  158M:  32M   57M|38.2G  458G:9867M  481G
24-02 13:40:57|  4   3  83  10   0|3024M 8955M 1339M 17.7G|5612   409 :5363   298 : 249   105 |  74M  224M:  43M  167M:  31M   57M|38.2G  458G:9888M  481G
24-02 13:40:58|  4   3  85   7   0|3031M 8789M 1339M 17.8G|4599   343 :4343   249 : 256  90.0 |  66M  224M:  34M  166M:  32M   58M|38.4G  458G:9908M  481G
24-02 13:40:59|  4   3  85   7   0|3022M 8660M 1339M 17.9G|6233   306 :5840   214 : 393  92.0 |  77M  228M:  46M  170M:  32M   57M|38.5G  457G:9929M  481G
24-02 13:41:00|  4   4  83   9   0|3037M 8645M 1339M 17.9G|6255   656 :6027   269 : 228   365 |  75M  305M:  47M  165M:  28M  139M|38.6G  457G:9948M  481G
24-02 13:41:01|  4   3  77  17   0|3039M 8640M 1339M 17.9G|2718   646 :2508   379 : 210   267 |  46M  376M:  20M  166M:  26M  211M|38.6G  457G:9970M  481G
